text;label
Ada aksi perampokan bank di pusat kota Boyolali, segera kirim bantuan!;1
Kondisi pos keamanan di perbatasan Batang tetap terjaga.;0
Tanah longsor menutup jalur utama Purworejo, banyak kendaraan terjebak!;1
Apa saja syarat mengurus SKCK di Polres Banjarnegara?;0
Banjir bandang menerjang perumahan Tegal, evakuasi mendesak!;1
Info jadwal perpanjangan SIM di Polres Wonogiri.;0
Kebakaran hebat sedang berlangsung di pasar Kendal, butuh bantuan!;1
Info jadwal perpanjangan SIM di Polres Kudus.;0
Banjir bandang menerjang perumahan Sragen, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Tegal.;0
Banjir bandang menerjang perumahan Temanggung, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Kebumen.;0
Tawuran massal pecah di depan sekolah Banjarnegara, situasi darurat!;1
Bagaimana cara membuat laporan kehilangan di Polsek Wonogiri?;0
Banjir bandang menerjang perumahan Blora, evakuasi mendesak!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Solo.;0
Tolong ada kecelakaan maut di KM Rembang tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Salatiga.;0
Tanah longsor menutup jalur utama Magelang, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Magelang.;0
Kebakaran hebat sedang berlangsung di pasar Grobogan, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Banjarnegara tetap terjaga.;0
Tawuran massal pecah di depan sekolah Pekalongan, situasi darurat!;1
Lalu lintas di jalur Pekalongan pagi ini terpantau lancar.;0
Ditemukan bom di area publik Cilacap, mohon segera sterilisasi!;1
Bagaimana cara membuat laporan kehilangan di Polsek Solo?;0
Banjir bandang menerjang perumahan Semarang, evakuasi mendesak!;1
Info jadwal perpanjangan SIM di Polres Batang.;0
Pasien kritis butuh pengawalan ambulans darurat di Tegal!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Ungaran.;0
Tanah longsor menutup jalur utama Rembang, banyak kendaraan terjebak!;1
Lalu lintas di jalur Pekalongan pagi ini terpantau lancar.;0
Tanah longsor menutup jalur utama Brebes, banyak kendaraan terjebak!;1
Lalu lintas di jalur Salatiga pagi ini terpantau lancar.;0
Pasien kritis butuh pengawalan ambulans darurat di Tegal!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Rembang.;0
Ditemukan bom di area publik Wonogiri, mohon segera sterilisasi!;1
Cuaca di wilayah Purwokerto mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Salatiga, banyak kendaraan terjebak!;1
Apa saja syarat mengurus SKCK di Polres Kudus?;0
Ditemukan bom di area publik Batang, mohon segera sterilisasi!;1
Apa saja syarat mengurus SKCK di Polres Surakarta?;0
Pasien kritis butuh pengawalan ambulans darurat di Grobogan!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Kudus.;0
Tawuran massal pecah di depan sekolah Wonosobo, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Cilacap.;0
Kebakaran hebat sedang berlangsung di pasar Rembang, butuh bantuan!;1
Bagaimana cara membuat laporan kehilangan di Polsek Sukoharjo?;0
Kebakaran hebat sedang berlangsung di pasar Kebumen, butuh bantuan!;1
Info jadwal perpanjangan SIM di Polres Ungaran.;0
Ada korban penembakan di jalan Cilacap, pelaku kabur!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Tegal.;0
Ada aksi perampokan bank di pusat kota Wonosobo, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Boyolali?;0
Ada aksi perampokan bank di pusat kota Ungaran, segera kirim bantuan!;1
Cuaca di wilayah Pati mendung, pengendara dihimbau hati-hati.;0
Banjir bandang menerjang perumahan Sragen, evakuasi mendesak!;1
Info jadwal perpanjangan SIM di Polres Ungaran.;0
Ada aksi perampokan bank di pusat kota Sukoharjo, segera kirim bantuan!;1
Cuaca di wilayah Wonosobo mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Temanggung, banyak kendaraan terjebak!;1
Kondisi pos keamanan di perbatasan Banyumas tetap terjaga.;0
Tawuran massal pecah di depan sekolah Banjarnegara, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Kudus.;0
Ada korban penembakan di jalan Klaten, pelaku kabur!;1
Lalu lintas di jalur Boyolali pagi ini terpantau lancar.;0
Pasien kritis butuh pengawalan ambulans darurat di Semarang!;1
Petugas melakukan patroli rutin di lingkungan warga Magelang.;0
Pasien kritis butuh pengawalan ambulans darurat di Grobogan!;1
Cuaca di wilayah Salatiga mendung, pengendara dihimbau hati-hati.;0
Pasien kritis butuh pengawalan ambulans darurat di Surakarta!;1
Cuaca di wilayah Sragen mendung, pengendara dihimbau hati-hati.;0
Tawuran massal pecah di depan sekolah Purworejo, situasi darurat!;1
Bagaimana cara membuat laporan kehilangan di Polsek Pati?;0
Warga diserang komplotan begal bersenjata di Wonosobo!;1
Kondisi pos keamanan di perbatasan Rembang tetap terjaga.;0
Kebakaran hebat sedang berlangsung di pasar Wonosobo, butuh bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kudus.;0
Pasien kritis butuh pengawalan ambulans darurat di Rembang!;1
Warga sedang mengadakan acara syukuran di balai desa Wonosobo.;0
Kebakaran hebat sedang berlangsung di pasar Kendal, butuh bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Ungaran.;0
Ada aksi perampokan bank di pusat kota Magelang, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Semarang.;0
Ada korban penembakan di jalan Wonogiri, pelaku kabur!;1
Kondisi pos keamanan di perbatasan Karanganyar tetap terjaga.;0
Pasien kritis butuh pengawalan ambulans darurat di Purbalingga!;1
Petugas melakukan patroli rutin di lingkungan warga Purbalingga.;0
Tawuran massal pecah di depan sekolah Salatiga, situasi darurat!;1
Warga sedang mengadakan acara syukuran di balai desa Grobogan.;0
Ditemukan bom di area publik Demak, mohon segera sterilisasi!;1
Lalu lintas di jalur Brebes pagi ini terpantau lancar.;0
Tanah longsor menutup jalur utama Kebumen, banyak kendaraan terjebak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Solo?;0
Ditemukan bom di area publik Blora, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Klaten.;0
Tolong ada kecelakaan maut di KM Surakarta tol!;1
Bagaimana cara membuat laporan kehilangan di Polsek Rembang?;0
Tanah longsor menutup jalur utama Sragen, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Purbalingga.;0
Banjir bandang menerjang perumahan Pati, evakuasi mendesak!;1
Cuaca di wilayah Purbalingga mendung, pengendara dihimbau hati-hati.;0
Pasien kritis butuh pengawalan ambulans darurat di Solo!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Rembang.;0
Kebakaran hebat sedang berlangsung di pasar Pati, butuh bantuan!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Purworejo.;0
Tolong ada kecelakaan maut di KM Tegal tol!;1
Petugas melakukan patroli rutin di lingkungan warga Kebumen.;0
Ada korban penembakan di jalan Ungaran, pelaku kabur!;1
Warga sedang mengadakan acara syukuran di balai desa Wonosobo.;0
Banjir bandang menerjang perumahan Pemalang, evakuasi mendesak!;1
Kondisi pos keamanan di perbatasan Banyumas tetap terjaga.;0
Tanah longsor menutup jalur utama Purworejo, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Blora.;0
Banjir bandang menerjang perumahan Kudus, evakuasi mendesak!;1
Apa saja syarat mengurus SKCK di Polres Karanganyar?;0
Pasien kritis butuh pengawalan ambulans darurat di Surakarta!;1
Cuaca di wilayah Purwokerto mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Demak, segera kirim bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Cilacap.;0
Tawuran massal pecah di depan sekolah Tegal, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kudus.;0
Pasien kritis butuh pengawalan ambulans darurat di Banyumas!;1
Kondisi pos keamanan di perbatasan Cilacap tetap terjaga.;0
Kebakaran hebat sedang berlangsung di pasar Sukoharjo, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Ungaran tetap terjaga.;0
Ada korban penembakan di jalan Jepara, pelaku kabur!;1
Petugas melakukan patroli rutin di lingkungan warga Batang.;0
Ada aksi perampokan bank di pusat kota Batang, segera kirim bantuan!;1
Info jadwal perpanjangan SIM di Polres Wonosobo.;0
Warga diserang komplotan begal bersenjata di Wonosobo!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Pemalang.;0
Ditemukan bom di area publik Karanganyar, mohon segera sterilisasi!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Karanganyar.;0
Tolong ada kecelakaan maut di KM Jepara tol!;1
Warga sedang mengadakan acara syukuran di balai desa Wonosobo.;0
Banjir bandang menerjang perumahan Sragen, evakuasi mendesak!;1
Apa saja syarat mengurus SKCK di Polres Boyolali?;0
Tanah longsor menutup jalur utama Tegal, banyak kendaraan terjebak!;1
Cuaca di wilayah Karanganyar mendung, pengendara dihimbau hati-hati.;0
Ada korban penembakan di jalan Magelang, pelaku kabur!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Pati.;0
Kebakaran hebat sedang berlangsung di pasar Pekalongan, butuh bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Pati.;0
Ada aksi perampokan bank di pusat kota Kendal, segera kirim bantuan!;1
Cuaca di wilayah Magelang mendung, pengendara dihimbau hati-hati.;0
Tawuran massal pecah di depan sekolah Purbalingga, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Boyolali.;0
Tolong ada kecelakaan maut di KM Wonogiri tol!;1
Apa saja syarat mengurus SKCK di Polres Pekalongan?;0
Tolong ada kecelakaan maut di KM Kendal tol!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Wonosobo.;0
Pasien kritis butuh pengawalan ambulans darurat di Blora!;1
Bagaimana cara membuat laporan kehilangan di Polsek Blora?;0
Banjir bandang menerjang perumahan Karanganyar, evakuasi mendesak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Klaten?;0
Ada aksi perampokan bank di pusat kota Banjarnegara, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Banyumas.;0
Kebakaran hebat sedang berlangsung di pasar Semarang, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Wonosobo tetap terjaga.;0
Tolong ada kecelakaan maut di KM Demak tol!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Wonosobo.;0
Kebakaran hebat sedang berlangsung di pasar Pemalang, butuh bantuan!;1
Cuaca di wilayah Magelang mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Wonogiri, segera kirim bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Sragen.;0
Ada aksi perampokan bank di pusat kota Jepara, segera kirim bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Salatiga.;0
Pasien kritis butuh pengawalan ambulans darurat di Purwokerto!;1
Petugas melakukan patroli rutin di lingkungan warga Temanggung.;0
Pasien kritis butuh pengawalan ambulans darurat di Purworejo!;1
Cuaca di wilayah Kendal mendung, pengendara dihimbau hati-hati.;0
Warga diserang komplotan begal bersenjata di Pati!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Brebes.;0
Tawuran massal pecah di depan sekolah Jepara, situasi darurat!;1
Petugas melakukan patroli rutin di lingkungan warga Grobogan.;0
Tanah longsor menutup jalur utama Banjarnegara, banyak kendaraan terjebak!;1
Info jadwal perpanjangan SIM di Polres Purwokerto.;0
Tolong ada kecelakaan maut di KM Demak tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Demak.;0
Tolong ada kecelakaan maut di KM Sukoharjo tol!;1
Kondisi pos keamanan di perbatasan Purbalingga tetap terjaga.;0
Ada aksi perampokan bank di pusat kota Blora, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Sukoharjo?;0
Warga diserang komplotan begal bersenjata di Wonogiri!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Temanggung.;0
Tolong ada kecelakaan maut di KM Salatiga tol!;1
Apa saja syarat mengurus SKCK di Polres Rembang?;0
Warga diserang komplotan begal bersenjata di Salatiga!;1
Info jadwal perpanjangan SIM di Polres Purbalingga.;0
Tawuran massal pecah di depan sekolah Pekalongan, situasi darurat!;1
Lalu lintas di jalur Pati pagi ini terpantau lancar.;0
Kebakaran hebat sedang berlangsung di pasar Salatiga, butuh bantuan!;1
Apa saja syarat mengurus SKCK di Polres Sragen?;0
Tawuran massal pecah di depan sekolah Sukoharjo, situasi darurat!;1
Apa saja syarat mengurus SKCK di Polres Sragen?;0
Warga diserang komplotan begal bersenjata di Solo!;1
Warga sedang mengadakan acara syukuran di balai desa Cilacap.;0
Banjir bandang menerjang perumahan Salatiga, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Pati.;0
Kebakaran hebat sedang berlangsung di pasar Purworejo, butuh bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Kendal.;0
Banjir bandang menerjang perumahan Demak, evakuasi mendesak!;1
Info jadwal perpanjangan SIM di Polres Kendal.;0
Pasien kritis butuh pengawalan ambulans darurat di Pati!;1
Apa saja syarat mengurus SKCK di Polres Sukoharjo?;0
Kebakaran hebat sedang berlangsung di pasar Pati, butuh bantuan!;1
Info jadwal perpanjangan SIM di Polres Kudus.;0
Kebakaran hebat sedang berlangsung di pasar Demak, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Brebes tetap terjaga.;0
Warga diserang komplotan begal bersenjata di Kendal!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Wonosobo.;0
Banjir bandang menerjang perumahan Demak, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Purbalingga.;0
Ditemukan bom di area publik Purwokerto, mohon segera sterilisasi!;1
Apa saja syarat mengurus SKCK di Polres Kebumen?;0
Tolong ada kecelakaan maut di KM Demak tol!;1
Terima kasih atas pengaturan lalu lintas di persimpangan Sragen.;0
Tanah longsor menutup jalur utama Banyumas, banyak kendaraan terjebak!;1
Petugas melakukan patroli rutin di lingkungan warga Sukoharjo.;0
Tolong ada kecelakaan maut di KM Kendal tol!;1
Petugas melakukan patroli rutin di lingkungan warga Rembang.;0
Tawuran massal pecah di depan sekolah Magelang, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Salatiga.;0
Ada korban penembakan di jalan Blora, pelaku kabur!;1
Warga sedang mengadakan acara syukuran di balai desa Batang.;0
Ditemukan bom di area publik Rembang, mohon segera sterilisasi!;1
Bagaimana cara membuat laporan kehilangan di Polsek Sukoharjo?;0
Ditemukan bom di area publik Sragen, mohon segera sterilisasi!;1
Lalu lintas di jalur Sukoharjo pagi ini terpantau lancar.;0
Tolong ada kecelakaan maut di KM Banyumas tol!;1
Warga sedang mengadakan acara syukuran di balai desa Kendal.;0
Ada aksi perampokan bank di pusat kota Banyumas, segera kirim bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Ungaran.;0
Banjir bandang menerjang perumahan Kudus, evakuasi mendesak!;1
Lalu lintas di jalur Klaten pagi ini terpantau lancar.;0
Banjir bandang menerjang perumahan Banjarnegara, evakuasi mendesak!;1
Petugas melakukan patroli rutin di lingkungan warga Solo.;0
Ada korban penembakan di jalan Surakarta, pelaku kabur!;1
Apa saja syarat mengurus SKCK di Polres Solo?;0
Warga diserang komplotan begal bersenjata di Blora!;1
Info jadwal perpanjangan SIM di Polres Karanganyar.;0
Banjir bandang menerjang perumahan Kudus, evakuasi mendesak!;1
Bagaimana cara membuat laporan kehilangan di Polsek Demak?;0
Warga diserang komplotan begal bersenjata di Sragen!;1
Cuaca di wilayah Wonosobo mendung, pengendara dihimbau hati-hati.;0
Tanah longsor menutup jalur utama Purworejo, banyak kendaraan terjebak!;1
Petugas melakukan patroli rutin di lingkungan warga Kebumen.;0
Ditemukan bom di area publik Boyolali, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kudus.;0
