text;sentiment
Terima kasih Batang atas respon cepatnya.;positive
Banyak pungli di jalanan Jepara, tolong ditindak.;negative
Kondisi keamanan di Banyumas masih terus dipantau.;neutral
Program baksos Polres Karanganyar sangat menyentuh hati.;positive
Proses bikin SIM di Temanggung dipersulit terus.;negative
Polisi sedang melakukan sosialisasi di desa Temanggung.;neutral
Alhamdulillah, pengamanan di Jepara sangat kondusif.;positive
Warga merasa tidak aman di Salatiga karena jarang patroli.;negative
Ada apel pagi anggota Polres Semarang hari ini.;neutral
Polisi Tegal sangat profesional dalam bertugas.;positive
Banyak pungli di jalanan Wonogiri, tolong ditindak.;negative
Kegiatan patroli rutin di wilayah Temanggung sedang berjalan.;neutral
Senang sekali laporan saya di Purwokerto diproses cepat.;positive
Polisi di Banjarnegara datangnya lama sekali saat ada kejadian.;negative
Informasi lebih lanjut akan disampaikan Polres Cilacap.;neutral
Respon aduan di Klaten sangat luar biasa baiknya.;positive
Sangat disayangkan penanganan kasus di Wonosobo berbelit-belit.;negative
Polisi sedang melakukan sosialisasi di desa Wonosobo.;neutral
Terima kasih Sukoharjo atas respon cepatnya.;positive
Aplikasi pengaduan di Purworejo sering error dan tidak berguna.;negative
Kegiatan patroli rutin di wilayah Semarang sedang berjalan.;neutral
Polisi Demak sangat profesional dalam bertugas.;positive
Aplikasi pengaduan di Magelang sering error dan tidak berguna.;negative
Petugas sedang mengolah TKP di daerah Blora.;neutral
Respon aduan di Banyumas sangat luar biasa baiknya.;positive
Proses bikin SIM di Pemalang dipersulit terus.;negative
Ada apel pagi anggota Polres Demak hari ini.;neutral
Kinerja aparat di Purworejo patut diacungi jempol.;positive
Petugas di Jepara kurang ramah saat melayani warga.;negative
Petugas sedang mengolah TKP di daerah Pekalongan.;neutral
Senang sekali laporan saya di Ungaran diproses cepat.;positive
Laporan kehilangan di Batang tidak ada kejelasan.;negative
Ada apel pagi anggota Polres Demak hari ini.;neutral
Program baksos Polres Wonosobo sangat menyentuh hati.;positive
Laporan kehilangan di Solo tidak ada kejelasan.;negative
Lalu lintas di pusat kota Kudus terpantau ramai.;neutral
Pelayanan di Polres Pekalongan sangat memuaskan.;positive
Aplikasi pengaduan di Kebumen sering error dan tidak berguna.;negative
Kegiatan patroli rutin di wilayah Purworejo sedang berjalan.;neutral
Salut untuk polisi Blora yang sigap membantu warga.;positive
Banyak pungli di jalanan Batang, tolong ditindak.;negative
Lalu lintas di pusat kota Banyumas terpantau ramai.;neutral
Kinerja aparat di Kendal patut diacungi jempol.;positive
Banyak pungli di jalanan Ungaran, tolong ditindak.;negative
Kegiatan patroli rutin di wilayah Jepara sedang berjalan.;neutral
Senang sekali laporan saya di Surakarta diproses cepat.;positive
Sangat disayangkan penanganan kasus di Demak berbelit-belit.;negative
Surat laporan sudah diterima oleh Polsek Banyumas.;neutral
Terima kasih Purwokerto atas respon cepatnya.;positive
Petugas di Salatiga kurang ramah saat melayani warga.;negative
Petugas terlihat berjaga di area pasar Cilacap.;neutral
Terima kasih Cilacap atas respon cepatnya.;positive
Warga merasa tidak aman di Solo karena jarang patroli.;negative
Sedang ada pemeriksaan surat-surat di jalur Grobogan.;neutral
Salut untuk polisi Karanganyar yang sigap membantu warga.;positive
Proses bikin SIM di Semarang dipersulit terus.;negative
Kegiatan patroli rutin di wilayah Wonogiri sedang berjalan.;neutral
Respon aduan di Tegal sangat luar biasa baiknya.;positive
Kecewa dengan pelayanan di Polres Kudus, sangat lambat.;negative
Ada apel pagi anggota Polres Boyolali hari ini.;neutral
Salut untuk polisi Kebumen yang sigap membantu warga.;positive
Proses bikin SIM di Brebes dipersulit terus.;negative
Kondisi keamanan di Purbalingga masih terus dipantau.;neutral
Kinerja aparat di Temanggung patut diacungi jempol.;positive
Lalu lintas di Blora macet parah tapi tidak ada petugas.;negative
Sedang ada pemeriksaan surat-surat di jalur Rembang.;neutral
Pelayanan di Polres Wonosobo sangat memuaskan.;positive
Polisi di Cilacap datangnya lama sekali saat ada kejadian.;negative
Polisi sedang melakukan sosialisasi di desa Salatiga.;neutral
Pelayanan di Polres Demak sangat memuaskan.;positive
Banyak pungli di jalanan Pati, tolong ditindak.;negative
Ada apel pagi anggota Polres Jepara hari ini.;neutral
Apresiasi untuk petugas lantas Cilacap yang ramah.;positive
Proses bikin SIM di Rembang dipersulit terus.;negative
Surat laporan sudah diterima oleh Polsek Boyolali.;neutral
Apresiasi untuk petugas lantas Wonogiri yang ramah.;positive
Aplikasi pengaduan di Temanggung sering error dan tidak berguna.;negative
Informasi lebih lanjut akan disampaikan Polres Kudus.;neutral
Respon aduan di Grobogan sangat luar biasa baiknya.;positive
Kecewa dengan pelayanan di Polres Kudus, sangat lambat.;negative
Petugas terlihat berjaga di area pasar Batang.;neutral
Program baksos Polres Tegal sangat menyentuh hati.;positive
Laporan kehilangan di Rembang tidak ada kejelasan.;negative
Informasi lebih lanjut akan disampaikan Polres Karanganyar.;neutral
Alhamdulillah, pengamanan di Salatiga sangat kondusif.;positive
Laporan kehilangan di Kudus tidak ada kejelasan.;negative
Lalu lintas di pusat kota Banjarnegara terpantau ramai.;neutral
Pelayanan di Polres Cilacap sangat memuaskan.;positive
Lalu lintas di Kebumen macet parah tapi tidak ada petugas.;negative
Sedang ada pemeriksaan surat-surat di jalur Sragen.;neutral
Polisi Brebes sangat profesional dalam bertugas.;positive
Laporan kehilangan di Purbalingga tidak ada kejelasan.;negative
Sedang ada pemeriksaan surat-surat di jalur Batang.;neutral
Terima kasih Tegal atas respon cepatnya.;positive
Proses bikin SIM di Pekalongan dipersulit terus.;negative
Sedang ada pemeriksaan surat-surat di jalur Demak.;neutral
Apresiasi untuk petugas lantas Purworejo yang ramah.;positive
Lalu lintas di Banjarnegara macet parah tapi tidak ada petugas.;negative
Kondisi keamanan di Grobogan masih terus dipantau.;neutral
Senang sekali laporan saya di Semarang diproses cepat.;positive
Polisi di Ungaran datangnya lama sekali saat ada kejadian.;negative
Kondisi keamanan di Salatiga masih terus dipantau.;neutral
Program baksos Polres Jepara sangat menyentuh hati.;positive
Banyak pungli di jalanan Kebumen, tolong ditindak.;negative
Polisi sedang melakukan sosialisasi di desa Semarang.;neutral
Alhamdulillah, pengamanan di Rembang sangat kondusif.;positive
Lalu lintas di Batang macet parah tapi tidak ada petugas.;negative
Ada apel pagi anggota Polres Demak hari ini.;neutral
Kinerja aparat di Grobogan patut diacungi jempol.;positive
Sangat disayangkan penanganan kasus di Sukoharjo berbelit-belit.;negative
Petugas terlihat berjaga di area pasar Batang.;neutral
Program baksos Polres Semarang sangat menyentuh hati.;positive
Kecewa dengan pelayanan di Polres Purwokerto, sangat lambat.;negative
Sedang ada pemeriksaan surat-surat di jalur Banjarnegara.;neutral
Alhamdulillah, pengamanan di Kebumen sangat kondusif.;positive
Banyak pungli di jalanan Ungaran, tolong ditindak.;negative
Sedang ada pemeriksaan surat-surat di jalur Demak.;neutral
Respon aduan di Surakarta sangat luar biasa baiknya.;positive
Aplikasi pengaduan di Tegal sering error dan tidak berguna.;negative
Petugas sedang mengolah TKP di daerah Pati.;neutral
Respon aduan di Boyolali sangat luar biasa baiknya.;positive
Sangat disayangkan penanganan kasus di Jepara berbelit-belit.;negative
Kegiatan patroli rutin di wilayah Purworejo sedang berjalan.;neutral
Salut untuk polisi Brebes yang sigap membantu warga.;positive
Aplikasi pengaduan di Pekalongan sering error dan tidak berguna.;negative
Surat laporan sudah diterima oleh Polsek Purworejo.;neutral
Respon aduan di Banjarnegara sangat luar biasa baiknya.;positive
Banyak pungli di jalanan Pemalang, tolong ditindak.;negative
Informasi lebih lanjut akan disampaikan Polres Magelang.;neutral
Apresiasi untuk petugas lantas Purbalingga yang ramah.;positive
Aplikasi pengaduan di Brebes sering error dan tidak berguna.;negative
Kondisi keamanan di Pati masih terus dipantau.;neutral
Pelayanan di Polres Kebumen sangat memuaskan.;positive
Sangat disayangkan penanganan kasus di Wonogiri berbelit-belit.;negative
Sedang ada pemeriksaan surat-surat di jalur Salatiga.;neutral
Terima kasih Pati atas respon cepatnya.;positive
Banyak pungli di jalanan Wonosobo, tolong ditindak.;negative
Polisi sedang melakukan sosialisasi di desa Wonogiri.;neutral
Respon aduan di Temanggung sangat luar biasa baiknya.;positive
Lalu lintas di Banjarnegara macet parah tapi tidak ada petugas.;negative
Informasi lebih lanjut akan disampaikan Polres Blora.;neutral
Respon aduan di Kendal sangat luar biasa baiknya.;positive
Lalu lintas di Kudus macet parah tapi tidak ada petugas.;negative
Kondisi keamanan di Kudus masih terus dipantau.;neutral
Alhamdulillah, pengamanan di Batang sangat kondusif.;positive
Petugas di Wonosobo kurang ramah saat melayani warga.;negative
Petugas terlihat berjaga di area pasar Kudus.;neutral
Program baksos Polres Pati sangat menyentuh hati.;positive
Sangat disayangkan penanganan kasus di Banyumas berbelit-belit.;negative
Informasi lebih lanjut akan disampaikan Polres Ungaran.;neutral
Salut untuk polisi Jepara yang sigap membantu warga.;positive
Aplikasi pengaduan di Ungaran sering error dan tidak berguna.;negative
Informasi lebih lanjut akan disampaikan Polres Wonogiri.;neutral
Salut untuk polisi Demak yang sigap membantu warga.;positive
Sangat disayangkan penanganan kasus di Brebes berbelit-belit.;negative
Lalu lintas di pusat kota Banyumas terpantau ramai.;neutral
Terima kasih Rembang atas respon cepatnya.;positive
Polisi di Magelang datangnya lama sekali saat ada kejadian.;negative
Polisi sedang melakukan sosialisasi di desa Blora.;neutral
Kinerja aparat di Kebumen patut diacungi jempol.;positive
Laporan kehilangan di Blora tidak ada kejelasan.;negative
Kegiatan patroli rutin di wilayah Salatiga sedang berjalan.;neutral
Polisi Magelang sangat profesional dalam bertugas.;positive
Warga merasa tidak aman di Kudus karena jarang patroli.;negative
Kegiatan patroli rutin di wilayah Blora sedang berjalan.;neutral
Polisi Semarang sangat profesional dalam bertugas.;positive
Polisi di Brebes datangnya lama sekali saat ada kejadian.;negative
Informasi lebih lanjut akan disampaikan Polres Purwokerto.;neutral
Salut untuk polisi Klaten yang sigap membantu warga.;positive
Polisi di Purwokerto datangnya lama sekali saat ada kejadian.;negative
Informasi lebih lanjut akan disampaikan Polres Pemalang.;neutral
Apresiasi untuk petugas lantas Grobogan yang ramah.;positive
Sangat disayangkan penanganan kasus di Rembang berbelit-belit.;negative
Surat laporan sudah diterima oleh Polsek Jepara.;neutral
Senang sekali laporan saya di Boyolali diproses cepat.;positive
Proses bikin SIM di Karanganyar dipersulit terus.;negative
Petugas sedang mengolah TKP di daerah Pemalang.;neutral
Terima kasih Brebes atas respon cepatnya.;positive
Lalu lintas di Karanganyar macet parah tapi tidak ada petugas.;negative
Informasi lebih lanjut akan disampaikan Polres Kebumen.;neutral
Terima kasih Sragen atas respon cepatnya.;positive
Kecewa dengan pelayanan di Polres Pati, sangat lambat.;negative
Informasi lebih lanjut akan disampaikan Polres Wonogiri.;neutral
Alhamdulillah, pengamanan di Pekalongan sangat kondusif.;positive
Lalu lintas di Ungaran macet parah tapi tidak ada petugas.;negative
Petugas sedang mengolah TKP di daerah Rembang.;neutral
Apresiasi untuk petugas lantas Demak yang ramah.;positive
Aplikasi pengaduan di Sragen sering error dan tidak berguna.;negative
Kondisi keamanan di Ungaran masih terus dipantau.;neutral
Kinerja aparat di Pemalang patut diacungi jempol.;positive
Lalu lintas di Klaten macet parah tapi tidak ada petugas.;negative
Informasi lebih lanjut akan disampaikan Polres Wonosobo.;neutral
Pelayanan di Polres Brebes sangat memuaskan.;positive
Sangat disayangkan penanganan kasus di Banyumas berbelit-belit.;negative
Polisi sedang melakukan sosialisasi di desa Pati.;neutral
Kinerja aparat di Pati patut diacungi jempol.;positive
Sangat disayangkan penanganan kasus di Sragen berbelit-belit.;negative
Sedang ada pemeriksaan surat-surat di jalur Karanganyar.;neutral
Alhamdulillah, pengamanan di Rembang sangat kondusif.;positive
Polisi di Temanggung datangnya lama sekali saat ada kejadian.;negative
Kondisi keamanan di Kudus masih terus dipantau.;neutral
Program baksos Polres Kebumen sangat menyentuh hati.;positive
Petugas di Purworejo kurang ramah saat melayani warga.;negative
Ada apel pagi anggota Polres Pekalongan hari ini.;neutral
Terima kasih Solo atas respon cepatnya.;positive
Petugas di Tegal kurang ramah saat melayani warga.;negative
Petugas terlihat berjaga di area pasar Cilacap.;neutral
Polisi Solo sangat profesional dalam bertugas.;positive
Proses bikin SIM di Wonogiri dipersulit terus.;negative
Surat laporan sudah diterima oleh Polsek Boyolali.;neutral
Program baksos Polres Purbalingga sangat menyentuh hati.;positive
Polisi di Demak datangnya lama sekali saat ada kejadian.;negative
Surat laporan sudah diterima oleh Polsek Kudus.;neutral
Pelayanan di Polres Solo sangat memuaskan.;positive
Banyak pungli di jalanan Rembang, tolong ditindak.;negative
Surat laporan sudah diterima oleh Polsek Ungaran.;neutral
Respon aduan di Magelang sangat luar biasa baiknya.;positive
Proses bikin SIM di Brebes dipersulit terus.;negative
Kegiatan patroli rutin di wilayah Boyolali sedang berjalan.;neutral
Polisi Kendal sangat profesional dalam bertugas.;positive
Petugas di Kendal kurang ramah saat melayani warga.;negative
Lalu lintas di pusat kota Kudus terpantau ramai.;neutral
Terima kasih Banjarnegara atas respon cepatnya.;positive
Warga merasa tidak aman di Grobogan karena jarang patroli.;negative
Ada apel pagi anggota Polres Ungaran hari ini.;neutral
Kinerja aparat di Jepara patut diacungi jempol.;positive
Laporan kehilangan di Grobogan tidak ada kejelasan.;negative
Petugas terlihat berjaga di area pasar Surakarta.;neutral
Respon aduan di Purworejo sangat luar biasa baiknya.;positive
Warga merasa tidak aman di Salatiga karena jarang patroli.;negative
Lalu lintas di pusat kota Surakarta terpantau ramai.;neutral
Program baksos Polres Brebes sangat menyentuh hati.;positive
Aplikasi pengaduan di Blora sering error dan tidak berguna.;negative
Kegiatan patroli rutin di wilayah Kudus sedang berjalan.;neutral
Salut untuk polisi Boyolali yang sigap membantu warga.;positive
Petugas di Grobogan kurang ramah saat melayani warga.;negative
Kegiatan patroli rutin di wilayah Purworejo sedang berjalan.;neutral
Program baksos Polres Kendal sangat menyentuh hati.;positive
Sangat disayangkan penanganan kasus di Sukoharjo berbelit-belit.;negative
Sedang ada pemeriksaan surat-surat di jalur Purworejo.;neutral
Pelayanan di Polres Purwokerto sangat memuaskan.;positive
Sangat disayangkan penanganan kasus di Pekalongan berbelit-belit.;negative
Sedang ada pemeriksaan surat-surat di jalur Banyumas.;neutral
Salut untuk polisi Kudus yang sigap membantu warga.;positive
Lalu lintas di Wonosobo macet parah tapi tidak ada petugas.;negative
Lalu lintas di pusat kota Boyolali terpantau ramai.;neutral
Salut untuk polisi Jepara yang sigap membantu warga.;positive
Banyak pungli di jalanan Grobogan, tolong ditindak.;negative
Petugas sedang mengolah TKP di daerah Salatiga.;neutral
